nama-makanan,kalori,protein,karbohidrat,lemak,serat,link
Nasi Goreng Sembunyi,95.5,0,0,0,0,https://www.dapurumami.com/resep/nasi-goreng-sembunyi-o6mZq
Acar Pelangi,17,0,0,0,0,https://www.dapurumami.com/resep/acar-pelangi-vAPbH
Spaghetti Bumbu Rendang Sajiku®,80.3,0,0,0,0,https://www.dapurumami.com/resep/spaghetti-bumbu-rendang-NRRj8
Tumis Kembang Kol ala,20.5,1.8,2.8,0,0.3,https://www.dapurumami.com/resep/tumis-kembang-kol-JChA5
Macaroni Schotel,41.8,2.7,3,2,0.2,https://www.dapurumami.com/resep/macaroni-schotel-NDrm9
Sup Krim Ikan,72.3,4.3,4.5,4.3,0.3,https://www.dapurumami.com/resep/sup-krim-ikan-tTNRf
Rujak Buah Mayo Mayumi®️,124.5,1.8,27.8,1.3,0.5,https://www.dapurumami.com/resep/rujak-buah-mayo-gvXvt
Stick Ayam Sayur,60.1,3.8,19.4,4.8,1.7,https://www.dapurumami.com/resep/stick-ayam-sayur-Mz7QO
Nasi Goreng Kampung Sajiku®,293.8,9,33.3,13.3,0.8,https://www.dapurumami.com/resep/nasi-goreng-kampung-2wian
Bakpao Ayam ala,173.9,3.7,13.6,3.1,0.1,https://www.dapurumami.com/resep/bakpao-ayam-ofeD2
Keju Goreng Mayoberry Mayumi®️,31.6,0.6,1.1,2.8,0,https://www.dapurumami.com/resep/keju-goreng-mayoberry-LmxoO
I Fu Mie ala,205.5,10,7,4.5,0.3,https://www.dapurumami.com/resep/i-fu-mie-Xs2Z3
Sate Umbi Crispy,44.8,1.8,17.9,2.8,1.6,https://www.dapurumami.com/resep/sate-umbi-crispy-Qj3uH
Kering Tempe  Saus Teriyaki,511,36.3,15.5,37.5,4.5,https://www.dapurumami.com/resep/kering-tempe-teriyaki-ddwcw-2
Udang Renyah Cabai Rawit Sajiku®,149.5,15.8,31.5,8.3,2.5,https://www.dapurumami.com/resep/udang-renyah-cabai-rawit-a9rTq
Bola Bola Mie,52.8,3.3,0.8,2.5,0.1,https://www.dapurumami.com/resep/bola-bola-mie-i3vT5
Garang Asem ala AJI-NO-MOTO®,30.8,2,1.3,2,0.3,https://www.dapurumami.com/resep/garang-asem-64R3C
Salad Kentang Mayo Mayumi®️,111.5,6.3,2.8,3.3,0.5,https://www.dapurumami.com/resep/salad-kentang-mayo-aal9U
Ayam Goreng Kriuk Sajiku®,257,14,28.3,22.8,2.5,https://www.dapurumami.com/resep/ayam-goreng-kriuk-t3bPY
Sup Pangsit Umami ala AJI-NO-MOTO®,139.3,7.8,12.5,6.8,0.5,https://www.dapurumami.com/resep/sup-pangsit-umami-J7Wgz
Bitterbalen Talas,62.2,2,2.1,8.1,0.3,https://www.dapurumami.com/resep/bitterbalen-talas-rHOjL
Kwetiaw Siram ala,290.5,10.8,22,17.5,0.5,https://www.dapurumami.com/resep/kwetiaw-siram-gjRNh
Nugget Mayo Mayumi®️,86.6,4.4,4.9,5.3,0.2,https://www.dapurumami.com/resep/nugget-mayo-L7jy9
Mie Goreng Sosis Sajiku®,354.7,15.7,7.7,14.3,1,https://www.dapurumami.com/resep/mie-goreng-sosis-5NCk7
Bayam Mentega,71.5,5.8,2.8,3.3,0.3,https://www.dapurumami.com/resep/bayam-mentega-voqr7
Bola Ayam Mayo Mayumi®️,134.6,6.7,15.3,4.5,0,https://www.dapurumami.com/resep/bola-ayam-mayo-fWTmy
Nasi Ayam Hainan ala AJI-NO-MOTO®,438.3,16.8,71.5,9,0.3,https://www.dapurumami.com/resep/nasi-ayam-hainan-Bkwqe
Fu Yung Hai Asam Manis ala,236,6.8,2.8,20,0.3,https://www.dapurumami.com/resep/fu-yung-hai-asam-manis-tto9b
Dendeng Sapi Sajiku®,375,15,5.8,34.5,0,https://www.dapurumami.com/resep/dendeng-sapi-sajiku-RdZ1i
Pandan Roll Kismis Mayumi®️,221.7,4,22.3,6.7,0.7,https://www.dapurumami.com/resep/pandan-roll-kismis-z6qD6
Tempura Sayur Kriuk Sajiku®,498.3,29.8,111.5,13.8,15,https://www.dapurumami.com/resep/tempura-sayur-kriuk-ayr1S
Keju Balut Kentang Masako®,166.8,4.8,13.9,9.3,1,https://www.dapurumami.com/resep/keju-balut-kentang-Q9LFb
Orak Arik Telur Spesial ala,221.8,9.3,9.3,17.3,1.3,https://www.dapurumami.com/resep/orak-arik-telur-spesial-2h6De
Bakwan Jagung Sajiku®,121.6,7.1,34.3,8.1,2.6,https://www.dapurumami.com/resep/bakwan-jagung-sajiku-CtoQe
Kolak Ayam Masako®,293,11.4,12.4,13.8,0.3,https://www.dapurumami.com/resep/kolak-ayam-masako-dz1iC
Sup Bola Tahu Kornet ala AJI-NO-MOTO®,186.8,15.8,11.5,9.5,0.3,https://www.dapurumami.com/resep/sup-bola-tahu-kornet-pZ5kh
Kerang  Teriyaki Sambal Mangga,154.8,9.8,7.8,9.3,0.5,https://www.dapurumami.com/resep/kerang-teriyaki-sambal-mangga-03HTQ
Ayam Kremes Sajiku®,98.8,9.8,2.3,12.5,0.5,https://www.dapurumami.com/resep/ayam-kremes-sajiku-h79MR
Ikan Goreng Woku Sajiku®,185,22.3,11,6.3,0.3,https://www.dapurumami.com/resep/ikan-goreng-woku-cUcQa
Singkong Selai Mayo Mayumi®️,196.3,6.5,30.5,5.3,1,https://www.dapurumami.com/resep/singkong-selai-mayo-JKlk0
Nasi Lebah Umami ala AJI-NO-MOTO®,121.5,6,8.8,6.3,0.3,https://www.dapurumami.com/resep/nasi-lebah-umami-3N23n
Terompet Sayur Pelangi ala,33.3,8.3,12,20.5,0.3,https://www.dapurumami.com/resep/terompet-sayur-pelangi-NiYFf
Roti Kincir Masako®,49.9,1.5,5,2.7,0.1,https://www.dapurumami.com/resep/roti-kincir-masako-lQgVL
Nugget Bento Sajiku®,69.1,5.1,17.3,11.6,1.4,https://www.dapurumami.com/resep/nugget-bento-sajiku-1EMVB
Ekado Celup  Asam Manis,83.6,4.9,6.1,4.5,0.1,https://www.dapurumami.com/resep/ekado-celup-asam-manis-oJnm6
Gulai Kambing Umami ala AJI-NO-MOTO®,438.7,19.2,20.8,10.2,0,https://www.dapurumami.com/resep/gulai-kambing-umami-re5LB
Daging Tepung Saus Kari Sajiku®,219.3,13.7,41.7,17.2,3.3,https://www.dapurumami.com/resep/daging-tepung-saus-kari-WCrMF
Kebab Ayam Mayumi®,40.9,2.4,1.4,11.2,0.2,https://www.dapurumami.com/resep/kebab-ayam-mayumi-zWEli
Nasi Kebuli Masako®,373.5,10.8,46.3,16,0.8,https://www.dapurumami.com/resep/nasi-kebuli-masako-h8x4f
Omelette Nasi Umami ala AJI-NO-MOTO®,679.3,39.7,15.7,30.3,0.3,https://www.dapurumami.com/resep/omelette-nasi-umami-scLkd
Yakitori  Saus Teriyaki,161.8,12.5,6.8,10,1,https://www.dapurumami.com/resep/yakitori-saus-teriyaki-ctYE7
Sup Ceria Masako®,134.5,5.8,6.3,1.5,0.8,https://www.dapurumami.com/resep/sup-ceria-masako-Yf1q4
Ikan Kriuk Saus Thailand Sajiku®,85,7.1,30,5.8,2.4,https://www.dapurumami.com/resep/ikan-kriuk-saus-thailand-5rfBj
Lo Mie Ayam Sajiku®,194.3,6.5,15,12.3,0.5,https://www.dapurumami.com/resep/lo-mie-ayam-sajiku-oE8No
Ayam Panggang,410.3,20.5,4.8,31.5,0.5,https://www.dapurumami.com/resep/ayam-panggang-saori-oJGI4
Fettucini Mayo Mayumi®️ Pedas,280,12,26,15,1.8,https://www.dapurumami.com/resep/fettucini-mayo-pedas-JkPFP
Ayam Madu ala Sajiku®,302.3,22.3,8.8,18.8,0.3,https://www.dapurumami.com/resep/ayam-madu-ala-sajiku-zcMP9
Ayam Katsu Sajiku®,200.5,30.5,32,61.5,1,https://www.dapurumami.com/resep/ayam-katsu-sajiku-mrash-2
Sup Krim AJI-NO-MOTO®,82.3,14,18.5,22,1,https://www.dapurumami.com/resep/sup-krim-aji-no-moto-aJk8C
Soto Sokaraja Sajiku®,85.8,17.8,17.5,22.8,1,https://www.dapurumami.com/resep/soto-sokaraja-sajiku-NCD4M
Nasi Uduk Umami ala AJI-NO-MOTO®,103,8.8,66,13.8,3.8,https://www.dapurumami.com/resep/nasi-uduk-umami-bJChZ
Kakap Kuah Pedas Masako®,15.3,11,3,0.5,0.5,https://www.dapurumami.com/resep/kakap-kuah-pedas-A3iUk
Kreasi Telur Mayumi®,73.3,9.5,5.5,25.5,1.8,https://www.dapurumami.com/resep/kreasi-telur-mayumi-b7qpi
PIZZA Cinta Masako®,36.7,6.3,19.5,4.8,4.8,https://www.dapurumami.com/resep/pizza-cinta-masako-pnGR8
Gurame  Asam Manis®,132.5,29,46.3,26.8,0,https://www.dapurumami.com/resep/gurame-saori-asam-manis-ai1b4
Cireng Umami ala AJI-NO-MOTO®,32.2,1.8,15.7,6.6,0,https://www.dapurumami.com/resep/cireng-umami-4KOnv
Sayur Asem Sajiku®,25.5,4,14,4,2,https://www.dapurumami.com/resep/sayur-asem-sajiku-GabLk
Steak Ayam Mayumi®️ Pedas,391.5,24.5,5.5,73,3.5,https://www.dapurumami.com/resep/steak-ayam-mayumi-pedas-PPdjb
Sayur Sop Sajiku®,84,11.5,25.5,12,2,https://www.dapurumami.com/resep/sayur-sop-sajiku-L8dND
Ayam Golden Crispy Ala Sajiku®,154.5,43.5,40,65,0,https://www.dapurumami.com/resep/ayam-golden-crispy-tmw6t
Baso Panggang Keju  Teriyaki,73.5,18.8,3.3,22.5,0,https://www.dapurumami.com/resep/baso-panggang-keju-teriyaki-v6ssz
Burger Kriuk Sajiku®,452.8,16.3,48,21.8,0.8,https://www.dapurumami.com/resep/burger-kriuk-sajiku-ifvEa
Martabak Tempe Umami ala AJI-NO-MOTO®,13.4,4.5,3.6,8.8,0.3,https://www.dapurumami.com/resep/martabak-tempe-umami-wr2Hj
Buncis Special Masako®,115.5,5.5,3.8,9,1,https://www.dapurumami.com/resep/buncis-special-masako-pMihP
Keripik Singkong Mayo Mayumi®️,118.8,8.8,33,34.5,1.3,https://www.dapurumami.com/resep/keripik-singkong-mayo-fUXDV
Nasgor Keju Sajiku®,672.5,20.5,64.5,35.5,0.5,https://www.dapurumami.com/resep/nasgor-keju-sajiku-wD2so
Roti Gulung  Saus Teriyaki,40.7,1.6,4.5,1.8,0,https://www.dapurumami.com/resep/roti-gulung-teriyaki-UDt4G
Seafood Kriuk Sajiku®,172.8,19.5,56.5,11,4.8,https://www.dapurumami.com/resep/seafood-kriuk-sajiku-wFsEi
Sosis Mayo Panggang Mayumi®️,239.3,21.2,0.1,2.8,0,https://www.dapurumami.com/resep/sosis-mayo-panggang-fOBqS
Bolu Abon Masako®,95.2,2.8,9.8,2.2,0.2,https://www.dapurumami.com/resep/bolu-abon-masako-VLj0z
Timlo Special Umami ala AJI-NO-MOTO®,333.5,10,51,10.8,0.3,https://www.dapurumami.com/resep/timlo-special-umami-A3TBf
Pastel Daging Mayumi®,106.8,3.3,5.7,7.9,0,https://www.dapurumami.com/resep/pastel-daging-mayumi-LkUdK
Perkedel Sajiku®,116.6,5.9,23,9.6,2,https://www.dapurumami.com/resep/perkedel-sajiku-GxnZ7
Bola Daging,105.9,4.6,3.3,8.2,0.2,https://www.dapurumami.com/resep/bola-daging-saori-zh1pR
Nila Kuah Kuning Masako®,460,81,13,7,0,https://www.dapurumami.com/resep/nila-kuah-kuning-masako-PVzwf
Puding Cocktail Mayumi®,93.1,0.1,21.4,0.5,0,https://www.dapurumami.com/resep/puding-cocktail-mayumi-m0Wfs
Otak Otak Umami ala AJI-NO-MOTO®,38.4,3.8,1.3,2.1,0,https://www.dapurumami.com/resep/otak-otak-umami-NmvAV
Singkong Keju Sajiku®,627.5,7,98,19.5,2.5,https://www.dapurumami.com/resep/singkong-keju-sajiku-HrqTx
Nasi Liwet Khas Sunda Masako®,3576,168.5,344,174,5.5,https://www.dapurumami.com/resep/nasi-liwet-khas-sunda-tqa4B
Fancy Spagheti Carbonara Masako®,706,32.5,23.5,40,0.5,https://www.dapurumami.com/resep/fancy-spagheti-carbonara-N9HV9
Ayam Geprek Sajiku®,746,37,14,61,2,https://www.dapurumami.com/resep/ayam-geprek-Oluuu
Talam Ayam Pedas Merdeka Sajiku®,984,29,141.5,20,0,https://www.dapurumami.com/resep/talam-ayam-pedas-merdeka-58ZMo
Ayam Koloke  Saus Asam Manis,178.3,11,2.8,9.3,0,https://www.dapurumami.com/resep/ayam-koloke-asam-manis-SwJ5U
SoHu Goreng Tomat Isi Saus Bumbu Bali Masako®,438,26.5,53.5,15.5,1,https://www.dapurumami.com/resep/sohu-goreng-tomat-isi-saus-bumbu-bali-zXaiI
Jangan Lombok Kethok Masako®,482.5,23.5,26.5,38.5,0,https://www.dapurumami.com/resep/jangan-lombok-kethok-JSptD
Tortilla Rendang Ayam Kentang Pedas Sajiku®,1282.5,39,60.5,79.5,4.5,https://www.dapurumami.com/resep/tortilla-rendang-ayam-kentang-pedas-nMdKU
Semar Mendem,2227.5,50,127,89.5,1.5,https://www.dapurumami.com/resep/semar-mendem-tgHK4
Ayam Mangep Merdeka Masako®,1000.5,51,10,84,0,https://www.dapurumami.com/resep/ayam-mangep-merdeka-yhWgE
Soto Medan,1603,50,90.5,97,2,https://www.dapurumami.com/resep/soto-medan-9uqRw
Rempeyek Ikan Tabur Masako®,486.5,38.5,40,18.5,0,https://www.dapurumami.com/resep/rempeyek-ikan-tabur-lfaiI
Nasi Ulam Betawi Ala Sajiku®,525,7.5,67.5,25,0.5,https://www.dapurumami.com/resep/nasi-ulam-betawi-JXglz
Mie Lidi Merdeka ala AJI-NO-MOTO®,420,12,15.5,35.5,0.5,https://www.dapurumami.com/resep/mie-lidi-merdeka-FvLpm
Sup Udang Jamur Merdeka Masako®,368,34,63,11,0,https://www.dapurumami.com/resep/sup-udang-jamur-merdeka-uzkrS
Sate Komoh Umami Masako®,2212,88.5,40.5,200,0,https://www.dapurumami.com/resep/sate-komoh-umami-d199R
Healthy Cute Muffin Masako®,1481,64,129,92,4,https://www.dapurumami.com/resep/healthy-cute-muffin-Dm7b6
Bola Bola Ikan Udang Masako®,434.5,42,22.5,19,1.5,https://www.dapurumami.com/resep/bola-bola-ikan-udang-O8zSC
Sandwich Donat Ayam  Saus Teriyaki,1339.5,32.5,63.5,64.5,4,https://www.dapurumami.com/resep/sandwich-donat-ayam-teriyaki-0GOCk
Pancake Bakso Lada Hitam Masako®,1011,20,57.5,55,0.5,https://www.dapurumami.com/resep/pancake-bakso-lada-hitam-OltTc
Nasi Goreng Onigiri Ala Sajiku®,795,19,123,23.5,1,https://www.dapurumami.com/resep/nasi-goreng-onigiri-b816d
Ekado Bakso Mie Masako®,706,26.5,35,35.5,0.5,https://www.dapurumami.com/resep/ekado-bakso-mie-k81Nh
Talam Udang Gurih Masako®,1653,49,247,10,0,https://www.dapurumami.com/resep/talam-udang-gurih-5LUoy
Sup Merah Putih Masako®,97,7.7,0.8,7,0.3,https://www.dapurumami.com/resep/sup-merah-putih-masako-AYLZE
Tutug Oncom Ala Sajiku®,412,8.5,66.5,12,0.3,https://www.dapurumami.com/resep/tutug-oncom-ala-sajiku-Pwgrw
Tekwan Spesial Umami ala AJI-NO-MOTO®,81.2,8.3,3.5,4,0,https://www.dapurumami.com/resep/tekwan-spesial-umami-zvJHO
Sayur Asem Jatim Ala Sajiku®,10.5,2.2,0.7,0.3,0.5,https://www.dapurumami.com/resep/sayur-asem-jatim-ala-sajiku-Y3Dyw
Lasagna Daging Mayo Mayumi®️,343,19,12,25,0,https://www.dapurumami.com/resep/lasagna-daging-mayo-FsDGA
Sate Kambing Masako®,61.3,6.8,0.8,3.5,0,https://www.dapurumami.com/resep/sate-kambing-masako-3gSPb
Daging Gulung Sajiku®,230,7.3,1.5,15.3,0,https://www.dapurumami.com/resep/daging-gulung-sajiku-HRCZ9
Yamin Ayam,305.2,11.3,6.7,6.7,0.3,https://www.dapurumami.com/resep/yamin-ayam-saori-1X28d
Perkedel Tempe Umami ala AJI-NO-MOTO®,69.3,2.4,2.7,5.1,0.2,https://www.dapurumami.com/resep/perkedel-tempe-umami-SsBm9
Nugget Ubi Abon Sajiku®,90.1,4.1,31.8,5,2.2,https://www.dapurumami.com/resep/nugget-ubi-abon-AxJn3
Nugget Kentang Masako®,143.8,6.3,1.5,7.3,0,https://www.dapurumami.com/resep/nugget-kentang-masako-hk3Mr
Roti Goreng Mayumi®,114.6,5.7,11.8,4.8,0,https://www.dapurumami.com/resep/roti-goreng-mayumi-4LIpo
Sup Jagung Sajiku®,200,8,27.3,6.5,1,https://www.dapurumami.com/resep/sup-jagung-sajiku-ytqt1
Tom Yum Seafood Umami ala AJI-NO-MOTO®,119.5,11.8,5.3,5.5,0,https://www.dapurumami.com/resep/tom-yum-seafood-umami-JEoPI
Spaghetti Ayam  Saus Teriyaki,179.3,6.3,6.8,14.3,0,https://www.dapurumami.com/resep/spaghetti-ayam-teriyaki-6miMg
Okonomiyaki Mayumi®,236,14,4.3,16.3,0.3,https://www.dapurumami.com/resep/okonomiyaki-mayumi-SVVBe
Ayam Popcorn Sajiku®,189.8,11.3,1.8,8.3,0,https://www.dapurumami.com/resep/ayam-popcorn-sajiku-vrec8-2
Aglio Olio Tuna Masako®,240.3,10.8,10.3,17.3,0,https://www.dapurumami.com/resep/aglio-olio-tuna-masako-fZpcN
Kering Kentang Umami ala AJI-NO-MOTO®,283.5,10.5,12.5,18.5,0.8,https://www.dapurumami.com/resep/kering-kentang-umami-vsy9g
Nasi Lengko ala  AJI-NO-MOTO®,2352,112,267,102,8,https://www.dapurumami.com/resep/nasi-lengko-3s4jS
Docang ala AJI-NO-MOTO®,1227,40,113,73,4,https://www.dapurumami.com/resep/docang-oZvQX
Sate Bandeng ala AJI-NO-MOTO®,511.3,55.5,5.5,30.5,0,https://www.dapurumami.com/resep/sate-bandeng-HATd4
Sambal Bajak Banten ala AJI-NO-MOTO®,356.3,18.8,9.8,28.5,0,https://www.dapurumami.com/resep/sambal-bajak-banten-x0pbc
Kebab Gulung Mayumi®,81.8,4.8,2.8,5.7,0.3,https://www.dapurumami.com/resep/kebab-gulung-mayumi-ZReT4
Nasgor Gila Ala Sajiku®,721.5,19.5,55,46,0.5,https://www.dapurumami.com/resep/nasgor-gila-ala-sajiku-0spFk
Mie Goreng Jawa ala AJI-NO-MOTO®,1443,39,110,92,1,https://www.dapurumami.com/resep/mie-goreng-jawa-hG8Mz
Bandeng Serani Semarang ala AJI-NO-MOTO®,329,50.5,5,12,0,https://www.dapurumami.com/resep/bandeng-serani-semarang-vsfT3
Lontong Balap ala AJI-NO-MOTO®,1198.5,56.5,113,58,0.5,https://www.dapurumami.com/resep/lontong-balap-IRw22
Rawon ala AJI-NO-MOTO®,1236.5,67,12,102,0.5,https://www.dapurumami.com/resep/rawon-GXAI1
Pindang Bandeng ala AJI-NO-MOTO®,432.5,62.5,8.5,15,3,https://www.dapurumami.com/resep/pindang-bandeng-jGULV
Nasi Timbel Ikan Mas AJI-NO-MOTO®,844.5,68.8,74,32.3,2,https://www.dapurumami.com/resep/nasi-timbel-ikan-mas-5RgBB
Mie Kocok AJI-NO-MOTO®,314.5,13,18.5,21.5,0,https://www.dapurumami.com/resep/mie-kocok-aji-no-moto-J5juc
Jamur Kriuk Sajiku®,63.8,0.6,1.5,2.6,0,https://www.dapurumami.com/resep/jamur-kriuk-sajiku-qrChZ
Terik Komplit Masako®,561,33.5,15.3,44.8,3.3,https://www.dapurumami.com/resep/terik-komplit-masako-FF3fR
Capcay Oriental,112.8,4.5,7.3,8,0.5,https://www.dapurumami.com/resep/capcay-oriental-saori-EDK04
Nasgor Singapura Ala Sajiku®,568,19,61.5,26.5,0.5,https://www.dapurumami.com/resep/nasgor-singapura-ala-sajiku-qanXc
Kroket Pedas Mayo Mayumi®️,219.4,6.9,23.1,9.3,0.8,https://www.dapurumami.com/resep/kroket-pedas-mayo-7jsos
Martabak Telur Umami ala AJI-NO-MOTO®,88.6,4.3,2.3,6.9,0.1,https://www.dapurumami.com/resep/martabak-telur-umami-bBETS
Ayam Teriyaki Ala,227.5,9.5,3,20,0,https://www.dapurumami.com/resep/ayam-teriyaki-ala-saori-hgvsz
Sup Kacang Merah Masako®,194.8,9.5,14,11.5,2,https://www.dapurumami.com/resep/sup-kacang-merah-masako-AuPQ2
Lumpia Sayur Mayumi®,428,10.5,30,30,0.5,https://www.dapurumami.com/resep/lumpia-sayur-mayumi-PKMKj
Bola Sayur Crispy Sajiku®,429,17,64.5,13.5,1,https://www.dapurumami.com/resep/bola-sayur-crispy-glgnT
Mie Glosor Ala Sajiku®,315.8,10.5,6.8,13,0.3,https://www.dapurumami.com/resep/mie-glosor-ala-sajiku-KQM5Z
Batagor Spesial Umami ala AJI-NO-MOTO®,258.8,18.5,13.5,15.8,0.3,https://www.dapurumami.com/resep/batagor-spesial-umami-L1mEa
Lumpia Kulit Tahu,127.5,8.6,10.4,5.5,0,https://www.dapurumami.com/resep/lumpia-kulit-tahu-saori-UIp5Q
Tahu Isi Sajiku®,120.5,6.8,36.8,10.8,3,https://www.dapurumami.com/resep/tahu-isi-sajiku-Mn2JV
Tumis Sayur Masako®,192.5,8.5,55.8,15.8,1.5,https://www.dapurumami.com/resep/tumis-sayur-masako-aijx2
Ikan Asam Padeh Ala Sajiku®,129.8,11,0.8,9,0,https://www.dapurumami.com/resep/ikan-asam-padeh-ala-sajiku-3UTBy
Pangsit Spesial,130,8.8,11.3,5.5,0,https://www.dapurumami.com/resep/pangsit-spesial-saori-BCzr6
Roti Gulung Mayumi®,438.5,28.5,27.4,9.1,0.6,https://www.dapurumami.com/resep/roti-gulung-mayumi-GqdTn
Rendang Ayam ala Sajiku®,528.2,13.7,6,51.8,0,https://www.dapurumami.com/resep/rendang-ayam-ala-sajiku-EUGZT
Sandwich Bayam Mayumi®,355.8,16.3,52,8.8,0.3,https://www.dapurumami.com/resep/sandwich-bayam-mayumi-C1XE2
Capcay Seafood ala Sajiku®,151.3,28.3,10,10.8,0.3,https://www.dapurumami.com/resep/capcay-seafood-ala-sajiku-RU8U9
Ayam Kriuk Barbecue Sajiku®,261.6,11,16,30.2,0.2,https://www.dapurumami.com/resep/ayam-kriuk-barbecue-n6hQd
Bakso Goreng Sajiku®,410.8,27.5,48.8,12,0.3,https://www.dapurumami.com/resep/bakso-goreng-sajiku-WLcra
Soto Betawi Masako®,805.3,25.3,35.3,63.5,1.8,https://www.dapurumami.com/resep/soto-betawi-masako-jom5a
Ikan Bawal Panggang  Saus Teriyaki,174,19.5,2.5,10,0,https://www.dapurumami.com/resep/ikan-panggang-teriyaki-dTMsF
Sop Daging ala Sajiku®,136.8,7.8,2.3,10.5,0.3,https://www.dapurumami.com/resep/sop-daging-ala-sajiku-I1Bg6
Iga Goreng Teriyaki,184.5,9,0.8,16,0,https://www.dapurumami.com/resep/iga-goreng-teriyaki-3ZKtu
Misoa Goreng Ayam Masako®,128.3,4.4,13.3,6.5,0.1,https://www.dapurumami.com/resep/misoa-goreng-ayam-masako-wvYIs
Sushi ala AJI-NO-MOTO®,302.3,10.3,27,16.8,0.3,https://www.dapurumami.com/resep/sushi-ala-aji-no-moto-Xh9tC
Udang Bakar  Asam Manis,100.5,8,0,7.5,0,https://www.dapurumami.com/resep/udang-bakar-asam-manis-AhIf0
Cakwe Kornet Mayo Mayumi®️,19.9,0.5,1.8,2.3,0,https://www.dapurumami.com/resep/cakwe-kornet-mayo-P0pbA
Bakso Kuah Sajiku®,164,6.5,15,8.5,0,https://www.dapurumami.com/resep/bakso-kuah-sajiku-dss6p
Bakwan Jamur Crispy Sajiku®,82.3,1,2.5,3.9,0.4,https://www.dapurumami.com/resep/bakwan-jamur-crispy-atiph
Lele Crispy Sajiku®,72.5,7.5,3.8,3,0,https://www.dapurumami.com/resep/lele-crispy-sajiku-CCRM4
Jagung Mayo Keju Mayumi®️,241,5.3,45.5,4.8,1.5,https://www.dapurumami.com/resep/jagung-mayo-keju-fni4C
Bakwan Kangkung Sajiku®,95,0.6,6,4.1,0.4,https://www.dapurumami.com/resep/bakwan-kangkung-sajiku-kAxlh
Capcay Jamur Sajiku®,117,6,11,5.8,1,https://www.dapurumami.com/resep/capcay-jamur-sajiku-3HGf1
Bihun Sosis Sajiku®,636.5,16,90.5,23.5,0,https://www.dapurumami.com/resep/bihun-sosis-sajiku-9l97r
Bihun Siram Sajiku®,507,25,82.7,10,0,https://www.dapurumami.com/resep/bihun-siram-sajiku-EpqpT
Tumis Labu Siam,106,2.5,11.3,5.3,0,https://www.dapurumami.com/resep/tumis-labu-siam-saori
Kangkung Bunga Pepaya ala,44.5,3.5,7.5,15.5,2,https://www.dapurumami.com/resep/kangkung-bunga-pepaya-4WUuo
Empal Krawu Masako®,434.5,14.5,14.5,33.5,0,https://www.dapurumami.com/resep/empal-krawu-masako-HZTkw
Churros Singkong Sajiku®,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/churros-singkong-sajiku-QFwbB
Tahu Isi Daging,97,5.3,2,8,0,https://www.dapurumami.com/resep/tahu-isi-daging-saori-JoR2N
Tumis Kacang Panjang,36.3,2.8,4,1,1.3,https://www.dapurumami.com/resep/tumis-kacang-panjang-saori-irBnl
Ubi Crispy Sajiku®,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/ubi-crispy-sajiku-XnN1D
Udang Madu Mayumi®,60.3,10.5,4,0,0,https://www.dapurumami.com/resep/udang-madu-mayumi-x9btZ
Mie Goreng  Saus Tiram,591.5,22,10,24,0.5,https://www.dapurumami.com/resep/mie-goreng-saus-tiram-KAXW5
Tumis Genjer AJI-NO-MOTO®,64.1,1.1,3,5.5,0,https://www.dapurumami.com/resep/tumis-genjer-aji-no-moto-20sBF
Terong Balado AJI-NO-MOTO®,96.8,2.3,6.5,10.3,0.5,https://www.dapurumami.com/resep/terong-balado-aji-no-moto-1y3C3
Pisang Crispy Sajiku®,126.5,0.5,12.5,5,2.5,https://www.dapurumami.com/resep/pisang-crispy-C9VEs
Perkedel Oncom Cabai Rawit Sajiku®,161,6.3,6.9,9,0,https://www.dapurumami.com/resep/perkedel-oncom-cabai-rawit-O5gEP
Jamur Tahu  Teriyaki,177.7,9.7,13.7,8.3,2.7,https://www.dapurumami.com/resep/jamur-tahu-teriyaki-16jtB
Tumis Tauge Jamur AJI-NO-MOTO®,130.5,10,7.3,10.5,1,https://www.dapurumami.com/resep/tumis-tauge-jamur-y5fQx
Ikan Tongkol Cabai Hijau AJI-NO-MOTO®,160.8,3.5,2.8,15.5,0,https://www.dapurumami.com/resep/ikan-tongkol-cabai-hijau-YpvlU
Martabak Mini Mayo Mayumi®️,92.3,4.3,6.5,2.1,0.1,https://www.dapurumami.com/resep/martabak-mini-mayo-0cYed
Tumis Lawar Ayam Masako®,196.3,6.3,4.3,17.5,0.8,https://www.dapurumami.com/resep/tumis-lawar-ayam-6t9w2
Tumis Daun Pepaya,99.8,2.5,5.3,8,0.8,https://www.dapurumami.com/resep/tumis-daun-pepaya-qaLEY
Gulai ikan AJI-NO-MOTO®,448.7,34.7,31,23.3,0.7,https://www.dapurumami.com/resep/gulai-ikan-aji-no-moto-Idi4V
Singkong Isi Oncom Masako®,144.5,3.1,17.9,6.9,0.4,https://www.dapurumami.com/resep/singkong-isi-oncom-krFjY
Bakso Jamur Sapi Masako®,61.6,3.8,5.8,2.6,0,https://www.dapurumami.com/resep/bakso-jamur-sapi-V33Gu
Kekian Goreng Sajiku®,241.5,10.8,3.5,7.3,0,https://www.dapurumami.com/resep/kekian-goreng-sajiku-03pyS
