nama-makanan,kalori,protein,karbohidrat,lemak,serat,link
Gurame Renyah Selada,457.5,44.8,30.3,17,0,https://www.dapurumami.com/resep/gurame-renyah-selada-ruwcI
Daging Lapis Asam Manis,270.8,16.8,6.8,16,0.2,https://www.dapurumami.com/resep/daging-lapis-asam-manis-eSzfU
Ginseng Tabur Wijen,167.3,11.8,10,10,2,https://www.dapurumami.com/resep/ginseng-tabur-wijen-Mh4eE
Cumi Kerat Siram Saus,338.3,41.5,5.5,17,0.5,https://www.dapurumami.com/resep/cumi-kerat-siram-saus-CarAS
Buntut Kuah Asam Segar,486.2,30.5,6,37.2,0,https://www.dapurumami.com/resep/buntut-kuah-asam-segar-Bv6Zp
Bok Coy Bumbu Wijen,120,10.3,5.3,6,0,https://www.dapurumami.com/resep/bok-coy-bumbu-wijen-Jro4D
Buncis Tabur Udang,115.7,0,4,6.8,0.8,https://www.dapurumami.com/resep/buncis-tabur-udang-L8dcl
Bebek Panggang Hijau,985,42.3,7.8,87.5,0,https://www.dapurumami.com/resep/bebek-panggang-hijau-9qMbk
Udang Masak Paprika,139.3,15.2,4.7,7,0.7,https://www.dapurumami.com/resep/udang-masak-paprika-CDt4i
Baso Kuah Soto,352.4,24.4,877.8,12.8,0.8,https://www.dapurumami.com/resep/baso-kuah-soto-ZjrTw
Tauge Kuah Santan,309,14.4,19.4,11,0.8,https://www.dapurumami.com/resep/tauge-kuah-santan-YYulC
Sup Pundi isi Tahu,195,14.8,11.3,10.2,0,https://www.dapurumami.com/resep/sup-pundi-isi-tahu-QQIEj
Sup Tomat Cincang,312.421148825065,17.4120104438642,25.8729765013055,17.4614882506527,1.54308093994778,https://www.dapurumami.com/resep/sup-tomat-cincang-cDmd9
Soun Kuah Kangkung,227,9.2,28,8.2,0.2,https://www.dapurumami.com/resep/soun-kuah-kangkung-Mesri
Mie Telur Asin,478.7,11,9.7,25,0.3,https://www.dapurumami.com/resep/mie-telur-asin-8zFqe
Jumput Tempe,245.2,11.3,10.7,18.2,0.5,https://www.dapurumami.com/resep/jumput-tempe-qcZJy
Mentimun Muda Cah,114,9,5,6.4,0.4,https://www.dapurumami.com/resep/mentimun-muda-cah-8fwaI
Acar Ampela Pedas,162.8,14.2,3,9.4,0,https://www.dapurumami.com/resep/acar-ampela-pedas-a3oDD
Sayur Ceplok Telur Puyuh,538.8,14,25,45,2,https://www.dapurumami.com/resep/sayur-ceplok-telur-puyuh-NwTyD
Pancake Mini Brokoli,60,1.2,2.1,3.2,0,https://www.dapurumami.com/resep/pancake-mini-brokoli-1DbeF
Pindang Otak Otak,110.5,3.8,7.5,7.5,0.3,https://www.dapurumami.com/resep/pindang-otak-otak-CPzcb
Mujair Saus Oncom,345.8,37.3,22.5,9,0,https://www.dapurumami.com/resep/mujair-saus-oncom-l6Zj8
Ubi Colek Kari,449.5,3.7,55.3,28.3,5.7,https://www.dapurumami.com/resep/ubi-colek-kari-GRVyI
Telur Isi Goreng,114.6,8.5,12.7,7.7,0.6,https://www.dapurumami.com/resep/telur-isi-goreng-Bx2J1
Sup Krim Baso Kentang,194.3,6.8,12.3,10.5,0,https://www.dapurumami.com/resep/sup-krim-baso-kentang-ftXeW
Sate Tempe Manis,163.8,11.8,8.4,10.4,1.2,https://www.dapurumami.com/resep/sate-tempe-manis-Ly1OM
Sate Kikil,236.7,13,10.3,16.5,0,https://www.dapurumami.com/resep/sate-kikil-015k5
Pindang Rebung Santan,361.5,9.8,22.3,11.3,4.8,https://www.dapurumami.com/resep/pindang-rebung-santan-XZjQA
Paru Masak Belimbing,213.4,11.4,5.2,4.2,0,https://www.dapurumami.com/resep/paru-masak-belimbing-37Odq
Kwetiau Kuah Praktis,187.3,8.3,16.5,9.5,0.8,https://www.dapurumami.com/resep/kwetiau-kuah-praktis-oPJz9
Krupuk Kulit dan Bengkuang Kuah,236,16.3,4.8,16,0.3,https://www.dapurumami.com/resep/krupuk-kulit-dan-bengkuang-kuah-HKYQP
Daun Singkong Tabur,82.3,6.8,7.3,4.3,1.5,https://www.dapurumami.com/resep/daun-singkong-tabur-XacYk
Daging Melinjo Kriuk,282.8,15,26.3,13.5,0,https://www.dapurumami.com/resep/daging-melinjo-kriuk-WTgc5
Dadar Telur Rica Rica,140,7.5,11,7.5,0.3,https://www.dapurumami.com/resep/dadar-telur-rica-rica-AhVQs
Zucchini Rolled Chicken Curry,254.3,13.3,5.5,19.5,0.5,https://www.dapurumami.com/resep/zucchini-rolled-chicken-curry-7aZsC
Tuna Rice Burger,183.8,6.5,21.6,8,0.1,https://www.dapurumami.com/resep/tuna-rice-burger-Sz9ym
Stik Nugget Tahu,63.4,5.1,6.1,2.1,0.4,https://www.dapurumami.com/resep/stik-nugget-tahu-3wHnM
Sate Sosis Bumbu,801.9,73.4,1.4,7,0,https://www.dapurumami.com/resep/sate-sosis-bumbu-qKgA6
Sandwich Isi Ala Pizza,621.5,27.7,46.8,37.7,0,https://www.dapurumami.com/resep/sandwich-isi-ala-pizza-7rw8o
Roti Goreng Gulung,358.1,14.1,43.9,13.5,1.1,https://www.dapurumami.com/resep/roti-goreng-gulung-k14Th
Mie Goreng Siram,273.3,13.5,9.3,5.5,0.7,https://www.dapurumami.com/resep/mie-goreng-siram-7XMvN
Nasi Bungkus Dadar,446.7,17.3,55.7,14.7,0.3,https://www.dapurumami.com/resep/nasi-bungkus-dadar-f3rzL
Mie Rebus Tabur Daging Ayam,268.5,10.7,5.7,5.7,0.2,https://www.dapurumami.com/resep/mie-rebus-tabur-daging-ayam-XnvFF
Mie Pizza Daging Asap,636,45,18.5,36.5,0,https://www.dapurumami.com/resep/mie-pizza-daging-asap-7y4kB
Dadar Gulung Isi Makaroni,405.3,21.5,32.8,21.8,0,https://www.dapurumami.com/resep/dadar-gulung-isi-makaroni-mBJ8Q
Bistik Daging Cincang,1331,77.5,75,78.5,3.5,https://www.dapurumami.com/resep/bistik-daging-cincang-KAgvE
Salad Sayur Mayumi®️,155.5,6,23.5,4.5,1.5,https://www.dapurumami.com/resep/salad-sayur-Umelc
Pancah Daging,74.3,0,0,0,0,https://www.dapurumami.com/resep/pancah-daging-HkaqZ
Nasi Goreng Merah,86.5,0,0,0,0,https://www.dapurumami.com/resep/nasi-goreng-merah-tJOnI
Sup Bengkuang,51.8,0,0,0,0,https://www.dapurumami.com/resep/sup-bengkuang-WFRQp
Asem asem Ati Ampela,45.8,0,0,0,0,https://www.dapurumami.com/resep/asem-asem-ati-ampela-RtqR7
Cumi Asin Cabe Ijo,20.3,0,0,0,0,https://www.dapurumami.com/resep/cumi-asin-cabe-ijo-mvnVM
Plecing Kangkung,7,0,0,0,0,https://www.dapurumami.com/resep/plecing-kangkung-wFmTM
Telur Dadar Hijau,34.5,0,0,0,0,https://www.dapurumami.com/resep/telur-dadar-hijau-dmvce
Chicken Wings Saus Tiram,53.5,0,0,0,0,https://www.dapurumami.com/resep/chicken-wings-saus-tiram-uIU8d
Mini Hot Dog,112.8,0,0,0,0,https://www.dapurumami.com/resep/mini-hot-dog-yGx42
Talam Pelangi,27.5,0,0,0,0,https://www.dapurumami.com/resep/talam-pelangi-iwPJt
Udang Sayur Popcorn,41.3,0,0,0,0,https://www.dapurumami.com/resep/udang-sayur-popcorn-oRKsZ
Cookies Tempe Teriyaki,29.8,0,0,0,0,https://www.dapurumami.com/resep/cookies-tempe-teriyaki-Ztrm3
Sup Udang Umami,24.5,0,0,0,0,https://www.dapurumami.com/resep/sup-udang-umami-VtzKm
Gulai Daun Singkong,42.3,0,0,0,0,https://www.dapurumami.com/resep/gulai-daun-singkong-4vua1
Ikan Panggang Dabu Dabu,39,0,0,0,0,https://www.dapurumami.com/resep/ikan-panggang-dabu-dabu-s9xQV
Rajungan Lada Hitam,50.8,0,0,0,0,https://www.dapurumami.com/resep/rajungan-lada-hitam-J5IbY
Kacang Panjang Kuah Santan,70.5,0,0,0,0,https://www.dapurumami.com/resep/kacang-panjang-kuah-santan-KBRNS
Lumpia Ubi Manis,8.8,0,0,0,0,https://www.dapurumami.com/resep/lumpia-ubi-manis-H8LY8
Pepes Jamur,6.3,0,0,0,0,https://www.dapurumami.com/resep/pepes-jamur-IkxVa
Coan Coan Bandeng,54,0,0,0,0,https://www.dapurumami.com/resep/coan-coan-bandeng-2rzYL
Ayam Panggang Daun Pandan,32.5,0,0,0,0,https://www.dapurumami.com/resep/ayam-panggang-daun-pandan-srARO
Salad Nanas Segar,15,0,0,0,0,https://www.dapurumami.com/resep/salad-nanas-segar-EkT6v
Capcay Sosis,26,0,0,0,0,https://www.dapurumami.com/resep/capcay-sosis-meE9H
Tempe Mendoan,37.5,0,0,0,0,https://www.dapurumami.com/resep/tempe-mendoan-ktTNg
Pancake Labu Kuning,51.3,0,0,0,0,https://www.dapurumami.com/resep/pancake-labu-kuning-Ovapt
Kari Kambing Kurma,103,0,0,0,0,https://www.dapurumami.com/resep/kari-kambing-kurma-LsYmn
Ayam Goreng Golden Crispy,74,0,0,0,0,https://www.dapurumami.com/resep/ayam-goreng-golden-crispy-bmrEv
Sup Ikan Sawi Asin,41,0,0,0,0,https://www.dapurumami.com/resep/sup-ikan-sawi-asin-rVQ9h
Tumis Kangkung,114.8,4.8,3,9.8,0,https://www.dapurumami.com/resep/tumis-kangkung-cdKOs
Urap Terong,62.5,0,0,0,0,https://www.dapurumami.com/resep/urap-terong-KeMcr
Nasi Goreng Nanas,84.8,0,0,0,0,https://www.dapurumami.com/resep/nasi-goreng-nanas-v5ggJ
