title,url,category,cooking_time,portion,ingredients,steps,calories,protein,carbs,fat,image_url
Pangsit Tuna Mayo ala Mayumi,https://www.dapurumami.com/resep/pangsit-tuna-mayo-ala-mayumi-1RNFx,Aneka Resep,40,6,"Potong paprika hijau dan bawang bombay bentuk dadu kecil
potong telur rebus
dan ikan tuna
sisihkan.
Campurkan Mayumi Pedas
ikan tuna
telur rebus
paprika hijau dan bawang bombay
aduk rata.
Bentuk kulit lumpia menjadi amplop kecil lalu biarkan hingga mengering.
Panaskan minyak goreng
masukkan kulit lumpia
goreng hingga matang
angkat dan tiriskan.
Isi kulit lumpia dengan adonan tuna
sajikan.","1. Potong paprika hijau dan bawang bombay bentuk dadu kecil, potong telur rebus, dan ikan tuna, sisihkan.
2. Campurkan Mayumi Pedas, ikan tuna, telur rebus, paprika hijau dan bawang bombay, aduk rata.
3. Bentuk kulit lumpia menjadi amplop kecil lalu biarkan hingga mengering.
4. Panaskan minyak goreng, masukkan kulit lumpia, goreng hingga matang, angkat dan tiriskan.
5. Isi kulit lumpia dengan adonan tuna, sajikan.
6. 6 Langkah 6/6",272.5,9.5,4.3,24.2,https://assets.dapurumami.com/uploads/recipe/sup-pangsit-kembang-kol-k5vzqbvk-69934c0825f82.webp
Takoyaki Sosis ala Mayumi,https://www.dapurumami.com/resep/takoyaki-sosis-ala-mayumi-uadcb,Aneka Resep,60,7,"Iris sosis dan daun bawang
sisihkan.
Campur telur
air
terigu
Masako Rasa Ayam
sosis dan daun bawang
aduk rata.
Panaskan wajan takoyaki
lalu cetak adonan yang sudah disiapkan
bentuk menjadi bulatan
masak hingga matang.
Angkat takoyaki
beri Mayumi Pedas dan Mayumi Original serta taburan abon ayam.","1. Iris sosis dan daun bawang, sisihkan.
2. Campur telur, air, terigu, Masako Rasa Ayam, sosis dan daun bawang, aduk rata.
3. Panaskan wajan takoyaki, lalu cetak adonan yang sudah disiapkan, bentuk menjadi bulatan, masak hingga matang.
4. Angkat takoyaki, beri Mayumi Pedas dan Mayumi Original serta taburan abon ayam.",366.0,6.4,2.9,27.6,https://assets.dapurumami.com/uploads/recipe/takoyaki-sosis-ala-mayumi-uadcb-2dd9433ba13cefc04ad426d2891a4f6f.jpg
Tumis Kacang Panjang ala Masako,https://www.dapurumami.com/resep/tumis-kacang-panjang-ala-masako-0csxt,Aneka Resep,30,4,"Potong kacang panjang
iris serong jagung muda
sisihkan.
Panaskan minyak
masukkan udang
tumis hingga berubah warna.
Tambahkan kacang panjang
jagung muda dan air
masak hingga sayuran layu.
Tambahkan Masako Rasa Ayam dan aduk rata.
Sajikan.","1. Potong kacang panjang, iris serong jagung muda, sisihkan.
2. Panaskan minyak, masukkan udang, tumis hingga berubah warna.
3. Tambahkan kacang panjang, jagung muda dan air, masak hingga sayuran layu.
4. Tambahkan Masako Rasa Ayam dan aduk rata.
5. Sajikan.",140.3,4.3,6.3,6.3,https://assets.dapurumami.com/uploads/recipe/tumis-kacang-panjang-ala-masako-0csxt-49b2567d538ada443b58eac089628984.jpg
Ayam Saus Telur Asin ala Sajiku,https://www.dapurumami.com/resep/ayam-saus-telur-asin-ala-sajiku-ttaqn,Aneka Resep,30,4,"Iris cabai merah
lalu potong ayam berbentuk dadu ukuran sedang.
Buat adonan basah dengan melarutkan 1 sdm Sajiku Tepung Bumbu Golden Crispy dan 5 sdm air. Gunakan sisa tepung sebagai adonan kering. Gulingkan ayam ke adonan kering
celupkan ke adonan basah
lalu gulingkan kembali ke adonan kering sambil diketuk ringan.
Goreng ayam hingga cokelat keemasan
sisihkan.
Panaskan mentega
masukkan cabai merah
daun jeruk
dan kuning telur asin rebus
lalu masak hingga berbuih. Tambahkan susu cair dan garam
aduk rata
masak hingga matang
lalu tuangkan ke atas ayam goreng.
Sajikan.","1. Iris cabai merah, lalu potong ayam berbentuk dadu ukuran sedang.
2. Buat adonan basah dengan melarutkan 1 sdm Sajiku Tepung Bumbu Golden Crispy dan 5 sdm air. Gunakan sisa tepung sebagai adonan kering. Gulingkan ayam ke adonan kering, celupkan ke adonan basah, lalu gulingkan kembali ke adonan kering sambil diketuk ringan.
3. Goreng ayam hingga cokelat keemasan, sisihkan.
4. Panaskan mentega, masukkan cabai merah, daun jeruk, dan kuning telur asin rebus, lalu masak hingga berbuih. Tambahkan susu cair dan garam, aduk rata, masak hingga matang, lalu tuangkan ke atas ayam goreng.
5. Sajikan.",400.8,24.0,48.5,32.0,https://assets.dapurumami.com/uploads/recipe/ayam-saus-telur-asin-ala-sajiku-ttaqn-119b3f8f5847239d79fe6073f7d79e68.jpg
Soun Goreng Korea ala Masako,https://www.dapurumami.com/resep/soun-goreng-korea-ala-masako-2YXcT,Aneka Resep,30,2,"Iris daun bawang
bawang bombay
sosis
dan potong wortel ukuran korek api
sisihkan.
Panaskan minyak goreng
masukkan wortel
bawang bombay
dan sosis sapi. Aduk rata.
Tambahkan soun
air
kecap manis
dan Masako Rasa Sapi. Aduk hingga rata.
Masukkan bayam dan daun bawang
aduk rata
masak hingga matang. Angkat dan sajikan.","1. Iris daun bawang, bawang bombay, sosis, dan potong wortel ukuran korek api, sisihkan.
2. Panaskan minyak goreng, masukkan wortel, bawang bombay, dan sosis sapi. Aduk rata.
3. Tambahkan soun, air, kecap manis, dan Masako Rasa Sapi. Aduk hingga rata.
4. Masukkan bayam dan daun bawang, aduk rata, masak hingga matang. Angkat dan sajikan.
5. 5 Langkah 5/5",746.0,19.0,114.0,17.5,https://assets.dapurumami.com/uploads/recipe/soun-goreng-cabe-ijo-0ay2dhgq-698992278c3cb.webp
Salad Sayur Mayo Pedas ala Mayumi,https://www.dapurumami.com/resep/salad-sayur-mayo-pedas-ala-mayumi-ftd9m,Aneka Resep,20,2,"Potong tomat menjadi 4 bagian
parut wortel dan potong telur rebus.
Tata kacang merah
jagung manis
telur rebus
wortel
tomat dan selada di dalam mangkuk.
Tuangkan 1 bks Mayumi Pedas di atas campuran
sajikan.","1. Potong tomat menjadi 4 bagian, parut wortel dan potong telur rebus.
2. Tata kacang merah, jagung manis, telur rebus, wortel, tomat dan selada di dalam mangkuk.
3. Tuangkan 1 bks Mayumi Pedas di atas campuran, sajikan.",450.5,12.5,38.5,28.5,https://assets.dapurumami.com/uploads/recipe/salad-sayur-cjc5bwc5-699ae11e89844.webp
Pangsit Ayam Sayur ala Masako,https://www.dapurumami.com/resep/pangsit-ayam-sayur-ala-masako-dnord,Aneka Resep,60,3,"Potong wortel ukuran dadu kecil
iris daun bawang dan kucai
sisihkan.
Masukkan daging ayam cincang
wortel
tahu
kucai
daun bawang
dan Masako Rasa Ayam. Aduk rata.
Isi kulit pangsit dengan bahan isian
olesi tepinya dengan air
lalu lipat.
Kukus hingga matang selama kurang lebih 30 menit.
Sajikan.","1. Potong wortel ukuran dadu kecil, iris daun bawang dan kucai, sisihkan.
2. Masukkan daging ayam cincang, wortel, tahu, kucai, daun bawang, dan Masako Rasa Ayam. Aduk rata.
3. Isi kulit pangsit dengan bahan isian, olesi tepinya dengan air, lalu lipat.
4. Kukus hingga matang selama kurang lebih 30 menit.
5. Sajikan.",391.0,31.3,32.0,16.0,https://assets.dapurumami.com/uploads/recipe/pangsit-ayam-sayur-ala-masako-dnord-b83bd18050c2581a169a1584289df5c2.jpg
Beef Teriyaki ala SAORI,https://www.dapurumami.com/resep/beef-teriyaki-ala-saori-szv3W,Aneka Resep,30,2,"Iris bawang bombay
sisihkan.
Panaskan 2 sdm minyak goreng
tumis bawang bombay dan daging sapi hingga berubah warna.
Tambahkan 1 bks SAORI Saus Teriyaki
aduk rata
masak hingga matang.
Angkat
tuang di atas nasi putih. Sajikan.","1. Iris bawang bombay, sisihkan.
2. Panaskan 2 sdm minyak goreng, tumis bawang bombay dan daging sapi hingga berubah warna.
3. Tambahkan 1 bks SAORI Saus Teriyaki, aduk rata, masak hingga matang.
4. Angkat, tuang di atas nasi putih. Sajikan.
5. 5 Langkah 5/5",429.0,17.5,2.5,21.0,https://assets.dapurumami.com/uploads/recipe/pastel-bulat-beef-teriyaki-m6954opi-698cc6253d856.webp
Tumis Daun Melinjo Saus Tiram ala SAORI,https://www.dapurumami.com/resep/tumis-daun-melinjo-saus-tiram-ala-saori-KCpw6,Aneka Resep,30,4,"Iris cabai hijau
cabai merah
daun melinjo dan bawang merah
sisihkan
Panaskan 3 sdm minyak goreng
masukkan bawang merah
cabai hijau
cabai merah
daun melinjo dan kulit buah melinjo
tumis hingga harum
Tambahkan air
gula merah dan 1 bks SAORI Saus Tiram
masak hingga matang
Masukkan ikan teri
aduk sebentar
angkat dan sajikan","1. Iris cabai hijau, cabai merah, daun melinjo dan bawang merah, sisihkan
2. Panaskan 3 sdm minyak goreng, masukkan bawang merah, cabai hijau, cabai merah, daun melinjo dan kulit buah melinjo, tumis hingga harum
3. Tambahkan air, gula merah dan 1 bks SAORI Saus Tiram, masak hingga matang
4. Masukkan ikan teri, aduk sebentar, angkat dan sajikan
5. 5 Langkah 5/5",145.8,3.0,7.5,9.0,https://assets.dapurumami.com/uploads/recipe/tumis-daun-singkong-ejacdsjw-69996aa045f36.webp
Cumi Saus Mentega ala SAORI,https://www.dapurumami.com/resep/cumi-saus-mentega-ala-saori-grxkq,Aneka Resep,30,4,"Potong bawang bombay
iris cabai merah
dan potong cumi.
Panaskan minyak
masukkan bawang bombay dan cabai merah
lalu tumis hingga layu.
Masukkan cumi dan SAORI Saus Mentega
aduk rata.
Masak hingga matang.
Sajikan.","1. Potong bawang bombay, iris cabai merah, dan potong cumi.
2. Panaskan minyak, masukkan bawang bombay dan cabai merah, lalu tumis hingga layu.
3. Masukkan cumi dan SAORI Saus Mentega, aduk rata.
4. Masak hingga matang.
5. Sajikan.",69.3,4.3,1.5,5.3,https://assets.dapurumami.com/uploads/recipe/cumi-saus-mentega-ala-saori-grxkq-7c54a8b6bebd0daba32ef072f7a7d1fb.jpg
